name,ring,quadrant,isNew,status,description
Build pipelines,adopt,techniques,FALSE,no change,""
Emergent design,adopt,techniques,FALSE,moved in,""
Evolutionary database,adopt,techniques,FALSE,moved in,""
Platform roadmaps,adopt,techniques,TRUE,new,""
Web as platform,adopt,techniques,FALSE,moved in,""
Automation of technical tests,trial,techniques,TRUE,new,"Significant advances in the tools for automating functional testing haven’t been replicated in the technical testing space. Data management for performance, load and soak testing is a particular issue. However, the tools are improving and increased visibility for these tools supports the early and often technical testing that we advocate."
Continuous deployment,trial,techniques,FALSE,moved in,""
Lean software development,trial,techniques,FALSE,no change,"As Agile practices move further toward mainstream adoption, we see significant benefits from the adoption of Lean software development practices as well. These practices have their roots in the Toyota Production System and complement much of our understanding of Agile software development to date. One topic that Lean has also given us greater insight into is that of set-based design. Set-based design leads us to implement similar solutions at the same time while the cost of doing so is constrained. This leads us into the area of emergent design and the ability to let experience shape our design decisions and defer key decisions until the last responsible moment."
Polyglot programming,trial,techniques,TRUE,new,"This technique was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view."
Service choreography,trial,techniques,TRUE,new,""
Visualization and metrics,trial,techniques,FALSE,no change,""
Iterative data warehousing,assess,techniques,FALSE,no change,""
Scrum certification,hold,techniques,TRUE,new,""
ALT.NET,adopt,platforms,TRUE,new,""
Cloud,adopt,platforms,FALSE,no change,"The Cloud continues to be of interest to us, with Software as a Service the most mature cloud component. Platform and Infrastructure as service offerings have reached different levels of maturity, and we reflect that in our placement of EC2, Google App Engine and Azure."
IE6 End of Life,adopt,platforms,FALSE,no change,""
iPhone,adopt,platforms,FALSE,no change,"The iPhone and android operating systems have rapidly become key players in the mobile platform marketplace. Apple’s app store and Google’s open source operating system have helped both companies leapfrog the competition in capturing developer mindshare."
JRuby,adopt,platforms,TRUE,new,""
JVM as platform,adopt,platforms,FALSE,no change,""
Android,trial,platforms,FALSE,no change,""
EC2 & S3,trial,platforms,TRUE,new,"The Cloud continues to be of interest to us, with Software as a Service the most mature cloud component. Platform and Infrastructure as service offerings have reached different levels of maturity, and we reflect that in our placement of EC2, Google App Engine and Azure."
MongoDB,trial,platforms,TRUE,new,""
Neo4J,trial,platforms,TRUE,new,""
Application appliances,assess,platforms,TRUE,new,"This platform was included in this edition of the Radar for visibility. We felt that there wasn't anything substantial to add to the discourse around it, but that it was important to keep this in view."
Facebook as business platform,assess,platforms,TRUE,new,""
Google App Engine,assess,platforms,TRUE,new,"The Cloud continues to be of interest to us, with Software as a Service the most mature cloud component. Platform and Infrastructure as service offerings have reached different levels of maturity, and we reflect that in our placement of EC2, Google App Engine and Azure."
Google as corporate platform,assess,platforms,FALSE,no change,""
Large format mobile devices,assess,platforms,TRUE,new,"Large format mobile devices, such as the Apple iPad and Amazon Kindle, provide a new model of ubiquitous computing. Their long battery life, simple interfaces and easy connectivity have the potential to change the way we interact with computers. Apple’s new user interfaces discard the familiar desktop metaphors of files and folders that have been standard since the introduction of the Macintosh in 1984."
Location based services,assess,platforms,FALSE,no change,""
Mobile web,assess,platforms,TRUE,new,""
OAuth,assess,platforms,TRUE,new,"The Web is a global data structure that enables us to share information. However not all data is meant to be shared by everyone and it’s important to be able to share information on the Web in a disciplined and governable manner without requiring massive centralized infrastructure. OAuth provides a way of sharing resources on the Web responsibly and securely. It is a Web protocol (for Web browsers or machine-to-machine interactions), which allows federated authorization of access to Web resources. What’s interesting is that OAuth is a simple protocol to implement and utilize and yet its design goals match many common enterprise authorization problems. OAuth remains in the assessment category, however, because it has fragmented, and the IETF has not yet drawn the community back together under an Internet RFC."
RDFa,assess,platforms,FALSE,no change,"Semantic Web W3C standards, and the tools implementing them, are at last worthy of real attention. RDF and RDFa allow anyone to say anything about anything in a sharable, structured format. This proves a much more powerful means of linking and structuring data from disparate sources than the strictness of RDBMS, or the mess that is unstructured Web data. Correspondingly SPARQL is the query standard that allows information to be mined from RDF marked-up data."
Azure,hold,platforms,TRUE,new,""
