name,ring,quadrant,isNew,status,description
Pipelines as code,adopt,techniques,FALSE,no change,"<p>Teams are pushing for automation across their environments(testing), including their development infrastructure. <strong>Pipelines as code</strong> is defining the deployment pipeline through code instead of configuring a running CI/CD tool. <a href=""https://www.thoughtworks.com/radar/tools/lambdacd"">LambdaCD</a>, <a href=""http://readme.drone.io/usage/overview/"">Drone</a>, <a href=""https://www.thoughtworks.com/radar/tools/gocd"">GoCD</a> and <a href=""https://www.thoughtworks.com/radar/tools/concourse-ci"">Concourse</a> are examples that allow usage of this technique. Also, configuration automation tools for CI/CD systems like <a href=""https://github.com/SpringerSBM/gomatic"">GoMatic</a> can be used to treat the deployment pipeline as code—versioned and tested.</p>"
APIs as a product,trial,techniques,FALSE,no change,"<p>Companies have wholeheartedly embraced APIs as a way to expose business capabilities to both external and internal developers. APIs promise the ability to experiment quickly with new business ideas by recombining core capabilities. But what differentiates an API from an ordinary enterprise integration service? One difference lies in treating <strong>APIs as a product</strong> , even when the consumer is an internal system or fellow developer. Teams that build APIs should understand the needs of their customers and make the product compelling to them. Usability testing and UX research can lead to a better design and understanding of the API usage patterns and help bring a product mindset to APIs. APIs, like products, should be actively maintained and supported, and, easy to use. They should have an owner who advocates for the customer and strives for continual improvement. In our experience, product orientation is the missing ingredient that makes the difference between ordinary enterprise integration and an agile business built on a platform of APIs.</p>"
Decoupling secret management from source code,trial,techniques,TRUE,new,"<p>In previous Radars issues we mentioned tools such as <a href=""https://www.agwa.name/projects/git-crypt/"">git-crypt</a> and <a href=""https://www.thoughtworks.com/radar/tools/blackbox"">Blackbox</a> that allow us to keep secrets safe inside the source code. <strong>Decoupling secret management from source code</strong> is our way to remind technologists that there are other options for storing secrets. For example, <a href=""https://www.thoughtworks.com/radar/tools/hashicorp-vault"">HashiCorp vault</a>, CI servers and configuration management tools provide mechanisms for storing secrets that are not linked to the source code of an application. Both approaches are viable and we recommend you use at least one of them in your projects.</p>"
Hosting PII data in the EU,trial,techniques,FALSE,no change,"<p>In a number of countries, we see government agencies seeking broad access to private, personally identifiable information (PII). The increased use of public cloud solutions makes it more difficult for organizations to protect the data entrusted to them by their users while also respecting all relevant laws. The European Union has some of the most progressive privacy laws, and all the major cloud providers—Amazon, Google and Microsoft—offer multiple data centers and regions within the European Union. Therefore, we recommend that companies, especially those with a global user base, assess the feasibility of a safe haven for their users' data by <strong>hosting PII data in the EU</strong>. Since we wrote about this technique in the last Radar, we have rolled out a new internal system that handles sensitive information relating to all our employees, and we have chosen to host it in a data center located in the European Union.</p>"
Legacy in a box,trial,techniques,TRUE,new,"<p>Working with legacy code, especially large monoliths, is one of the most unsatisfying, high-friction <a href=""https://thoughtworks.wistia.com/medias/ogq5b8d80y"">experiences for developers</a>. Although we caution against extending and actively maintaining legacy monoliths, they continue to be dependencies in our environments, and developers often underestimate the cost and time required to develop against these dependencies. To help reduce the friction, developers have used virtualized <a href=""https://www.thoughtworks.com/radar/techniques/machine-image-as-a-build-artifact"">machine images</a> or container images with <a href=""https://www.thoughtworks.com/radar/platforms/docker"">Docker</a> containers to create immutable images of legacy systems and their configurations. The intent is to contain the <strong>legacy in a box</strong> for developers to run locally and remove the need for rebuilding, reconfiguring or sharing environments. In an ideal scenario, teams that own legacy systems generate the corresponding boxed legacy images through their build pipelines, and developers can then run and orchestrate these images in their allocated sandbox more reliably. Although this approach has reduced the overall time spent by each developer, it has had limited success when the teams owning the downstream dependencies have been reluctant to create container images for others to use.</p>"
Lightweight Architecture Decision Records,trial,techniques,FALSE,no change,"<p>Although much documentation can be replaced with highly readable code and tests, in a world of <a href=""https://www.thoughtworks.com/radar/techniques/evolutionary-architecture"">evolutionary architecture</a> it's important to record certain design decisions for the benefit of future team members and for external oversight. <strong>Lightweight Architecture Decision Records</strong> is <a href=""http://thinkrelevance.com/blog/2011/11/15/documenting-architecture-decisions"">a technique</a> for capturing important architectural decisions along with their context and consequences. Although these items are often stored in a wiki or collaboration tool, we generally prefer <a href=""https://github.com/npryce/adr-tools"">storing them in source control</a> with simple markup.</p>"
Progressive Web Applications,trial,techniques,TRUE,new,"<p>The increase in <strong>Progressive Web Applications</strong> (PWAs) is the latest attempt to bring back the mobile web in response to users' ""app fatigue"". Originally proposed by Google in 2015, PWAs are web applications that take advantage of the latest technologies to combine the best of web and native mobile applications. Using a set of open standard technologies such as, <a href=""https://w3c.github.io/ServiceWorker/"">service workers</a>, the <a href=""https://www.w3.org/TR/appmanifest/"">app manifest</a>, and cache and push APIs, we can create applications that are platform independent and deliver app-like user experiences. This brings parity to web and native applications and helps mobile developers reach users beyond the walled garden of the app stores. Think of PWAs as websites that act and feel like native apps.</p>"
Prototyping with InVision and Sketch,trial,techniques,TRUE,new,"<p>The combined use of InVision and Sketch has changed the way some people approach web application development. Although these are tools, it is really the technique of <strong>prototyping with InVision and Sketch</strong> that makes this blip significant. Creating rich, clickable prototypes as the starting point for implementing front-end and back-end behavior helps speed up the development and eliminates churn in the implementation details. This combined use of these tools strikes the right balance between premature elaboration of visual detail and capturing early user feedback on the interactive experience.</p>"
Serverless architecture,trial,techniques,FALSE,no change,"<p>A <strong><a href=""http://www.martinfowler.com/articles/serverless.html"">serverless architecture</a></strong> approach replaces long-running virtual machines with ephemeral compute power that comes into existence on request and disappears immediately after use. Our teams like the serverless approach; it's working well for us and we consider it a valid architectural choice. Note that serverless doesn't have to be an all-or-nothing approach: some of our teams have deployed a new chunk of their systems using serverless while sticking to a traditional architectural approach for other pieces. Although <a href=""https://www.thoughtworks.com/radar/platforms/aws-lambda"">AWS Lambda</a> is almost synonymous with serverless, the other major cloud providers all have similar offerings, and we also recommend assessing niche players such as <a href=""https://webtask.io/"">webtask</a>.</p>"
Client-directed query,assess,techniques,FALSE,no change,"<p>Although many problems that people encounter with RESTful approaches to APIs can be attributed to the <a href=""https://www.thoughtworks.com/radar/techniques/anemic-rest"">anemic REST</a> antipattern, some use cases warrant exploration of other approaches. In particular, organizations that have to support a long tail of client applications (and thus a likely proliferation of API versions even if they employ <a href=""https://www.thoughtworks.com/radar/techniques/consumer-driven-contract-testing"">consumer-driven contracts</a>)—and have a large portion of their APIs supporting the endless-list style of activity feeds—may hit some limits in RESTful architectures. These can sometimes be mitigated by employing the <strong>client-directed query</strong> approach to client-server interaction. We see this approach being successfully used in both <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/graphql"">GraphQL</a> and <a href=""https://github.com/Netflix/falcor"">Falcor</a>, where clients have more control over both the contents and the granularity of the data returned to them. This does put more responsibility onto the service layer and can still lead to tight coupling to the underlying data model, but the benefits may be worth exploring if well-modeled RESTful APIs aren't working for you.</p>"
