name,ring,quadrant,isNew,hasMovedIn,hasMovedOut,description
Dependency drift fitness function,Adopt,Techniques,FALSE,TRUE,FALSE,
Run cost as architecture fitness function,Adopt,Techniques,FALSE,FALSE,FALSE,
Security policy as code,Adopt,Techniques,FALSE,TRUE,FALSE,
Tailored service templates ,Adopt,Techniques,FALSE,TRUE,FALSE,
Continuous delivery for machine learning (CD4ML),Trial,Techniques,FALSE,FALSE,FALSE,
Data mesh,Trial,Techniques,FALSE,TRUE,FALSE,
Declarative data pipeline definition,Trial,Techniques,FALSE,TRUE,FALSE,
Diagrams as code ,Trial,Techniques,TRUE,FALSE,FALSE,
Distroless Docker images,Trial,Techniques,FALSE,TRUE,FALSE,
Event interception,Trial,Techniques,TRUE,FALSE,FALSE,
Parallel run with reconciliation,Trial,Techniques,TRUE,FALSE,FALSE,
Use “remote native” processes and approaches,Trial,Techniques,FALSE,FALSE,FALSE,
Zero trust architecture ,Trial,Techniques,FALSE,FALSE,FALSE,
Bounded low-code platforms,Assess,Techniques,TRUE,FALSE,FALSE,
Browser-tailored polyfills,Assess,Techniques,TRUE,FALSE,FALSE,
Decentralized identity,Assess,Techniques,FALSE,FALSE,FALSE,
Kube-managed cloud services,Assess,Techniques,TRUE,FALSE,FALSE,
Open Application Model (OAM),Assess,Techniques,TRUE,FALSE,FALSE,
Secure enclaves ,Assess,Techniques,TRUE,FALSE,FALSE,
Switchback experimentation,Assess,Techniques,TRUE,FALSE,FALSE,
Verifiable credentials ,Assess,Techniques,TRUE,FALSE,FALSE,
Apollo Federation,Hold,Techniques,TRUE,FALSE,FALSE,
ESBs in API Gateway’s clothing,Hold,Techniques,TRUE,FALSE,FALSE,
Log aggregation for business analytics,Hold,Techniques,FALSE,FALSE,FALSE,
Micro frontend anarchy,Hold,Techniques,TRUE,FALSE,FALSE,
Productionizing notebooks,Hold,Techniques,FALSE,FALSE,FALSE,
Azure DevOps,Trial,Platforms,FALSE,TRUE,FALSE,
Debezium,Trial,Platforms,FALSE,TRUE,FALSE,
Honeycomb ,Trial,Platforms,FALSE,TRUE,FALSE,
