name,ring,quadrant,isNew,status,description
Consumer-driven contract testing,adopt,techniques,FALSE,no change,"<p>We’ve decided to bring <strong>consumer-driven contract testing</strong> back from the archive for this edition even though we had allowed it to fade in the past. The concept isn’t new, but with the mainstream acceptance of microservices, we need to remind people that <a href=""http://www.martinfowler.com/articles/consumerDrivenContracts.html"">consumer-driven contracts</a> are an essential part of a mature <a href=""http://martinfowler.com/articles/microservice-testing/"">microservice testing</a> portfolio, enabling independent service deployments. But in addition, we want to point out that consumer-driven contract testing is a technique and an attitude that requires no special tool to implement. We love frameworks like <a href=""https://github.com/realestate-com-au/pact"">Pact</a> because they make proper contract tests easier to implement in certain contexts. But we have noticed a tendency for teams to focus on the framework rather than on the general practice. Writing Pact tests is not a guarantee that you are creating consumer-driven contracts; likewise, in many situations you should be creating good consumer-driven contracts even where no pre-built testing tool exists.</p>"
Pipelines as code,adopt,techniques,TRUE,new,"<p>Teams are pushing for automation across their environments, including their development infrastructure. <strong>Pipelines as code</strong> is defining the deployment pipeline through code instead of configuring a running CI/CD tool. <a href=""/radar/tools/lambdacd"">LambdaCD</a>, <a href=""http://readme.drone.io/usage/overview/"">Drone</a>, <a href=""/radar/tools/gocd"">GoCD</a> and <a href=""/radar/tools/concourse-ci"">Concourse</a> are examples that allow usage of this technique. Also, configuration automation tools for CI/CD systems like <a href=""https://github.com/SpringerSBM/gomatic"">GoMatic</a> can be used to treat the deployment pipeline as code—versioned and tested.</p>"
Threat modeling,adopt,techniques,FALSE,no change,"<p>With the number of high-profile security breaches in the past months, software development teams no longer need convincing that they must place an emphasis on writing secure software and dealing with their users' data in a responsible way. The teams face a steep learning curve, though, and the vast number of potential threats—ranging from organized crime and government spying to teenagers who attack systems ""for the lulz""—can be overwhelming. <a href=""https://www.owasp.org/index.php/Category:Threat_Modeling""><strong>Threat modeling</strong></a> provides a set of techniques that help you identify and classify potential threats early in the development process. It is important to understand that it is only part of a strategy to stay ahead of threats. When used in conjunction with techniques such as establishing cross-functional security requirements to address common risks in the technologies a project uses and using automated security scanners, threat modeling can be a powerful asset.</p>"
APIs as a product,trial,techniques,TRUE,new,"<p>Businesses have wholeheartedly embraced APIs as a way to expose business capabilities to both external and internal developers. APIs promise the ability to experiment quickly with new business ideas by recombining core capabilities. But what differentiates an API from an ordinary enterprise integration service? One difference lies in treating <strong>APIs as a product</strong> , even when the consumer is an internal system. Teams that build APIs should understand the needs of their customers and make the product compelling to them. Products are also improved, maintained and supported over the long term. They should have an owner who advocates for the customer and strives for continual improvement. Products are actively maintained and supported, easy to find and easy to use. In our experience, a product orientation is the missing ingredient that makes the difference between ordinary enterprise integration and an agile business built on a platform of APIs.</p>"
Bug bounties,trial,techniques,FALSE,no change,"<p>The use of <strong>bug bounties</strong> continues to grow in popularity for many organizations, including enterprises and notable government bodies. A bug-bounty program encourages participants to identify potentially damaging vulnerabilities in return for reward or recognition. Companies like <a href=""https://hackerone.com/"">HackerOne</a> and <a href=""https://bugcrowd.com/"">Bugcrowd</a> offer services to help organizations manage this process more easily, and we're seeing these services gather adoption.</p>"
Data Lake,trial,techniques,FALSE,no change,"<p>A <strong><a href=""http://martinfowler.com/bliki/DataLake.html"">Data Lake</a></strong> is an immutable data store of largely unprocessed ""raw"" data, acting as a source for data analytics. While the technique can clearly be misused, we have used it successfully at clients, hence motivating its move to trial. We continue to recommend other approaches for operational collaborations, limiting the use of the data lake to reporting, analytics and feeding data into data marts.</p>"
Hosting PII data in the EU,trial,techniques,FALSE,moved in,"<p>In a number of countries, we see government agencies seeking broad access to private, personally identifiable information (PII). The increased use of public cloud solutions makes it more difficult for organizations to protect the data entrusted to them by their users while also respecting all relevant laws. The European Union has some of the most progressive privacy laws, and all the major cloud providers—Amazon, Google and Microsoft—offer multiple data centers and regions within the European Union. Therefore, we recommend that companies, especially those with a global user base, assess the feasibility of a safe haven for their users' data by <strong>hosting PII data in the EU</strong>. Since we wrote about this technique in the last Radar, we have rolled out a new internal system that handles sensitive information relating to all our employees, and we have chosen to host it in a data center located in the European Union.</p>"
Lightweight Architecture Decision Records,trial,techniques,TRUE,new,"<p>Although much documentation can be replaced with highly readable code and tests, in a world of <a href=""/radar/techniques/evolutionary-architecture"">evolutionary architecture</a> it's important to record certain design decisions for the benefit of future team members and for external oversight. <strong>Lightweight Architecture Decision Records</strong> is <a href=""http://thinkrelevance.com/blog/2011/11/15/documenting-architecture-decisions"">a technique</a> for capturing important architectural decisions along with their context and consequences. Although these items are often stored in a wiki or collaboration tool, we generally prefer <a href=""https://github.com/npryce/adr-tools"">storing them in source control</a> with simple markup.</p>"
Reactive architectures,trial,techniques,FALSE,no change,"<p>We see continued adoption and success of <strong>reactive architectures</strong> , with reactive language extensions and reactive frameworks being very popular (we added several such blips in this edition of the Radar). User interfaces, in particular, benefit greatly from a reactive style of programming. Our caveats last time still hold true: Architectures based on asynchronous message passing introduce complexity and make the overall system harder to understand—it's no longer possible to simply read the program code and understand what the system does. We recommend assessing the performance and scalability needs of your system before committing to this architectural style.</p>"
Serverless architecture,trial,techniques,FALSE,moved in,"<p><a href=""http://www.martinfowler.com/articles/serverless.html""><strong>Serverless architecture</strong></a> is an approach that replaces long-running virtual machines with ephemeral compute power that comes into existence on request and disappears immediately after use. Since the last Radar, we have had several teams put applications into production using a ""serverless"" style. Our teams like the approach, it’s working well for them and we consider it a valid architectural choice. Note that serverless doesn’t have to be an all-or-nothing approach: some of our teams have deployed a new chunk of their systems using serverless while sticking to a traditional architectural approach for other pieces.</p>"
